SVR,Gradient Boosting
Stücknummer,GG1 Gew. Modul Vers.
Produktgruppe Vertrieb,PF Auftragsnummer
Auflage,PF KW 1.WE Prod.
Zweckbehandlung,VA2 Gewebemodulnr.
neue Type,VR2 Modulnummer
Aktive Oberfläche-S,NA Dicke
AT1 Atrocross-ModNr.,_ 15%
AT1 Fäd.10 cm rechts,EA Breite n. Schm.
AT3 Atrocross-ModNr.,EA Länge n. Fix. S
AT3 Fäd.10 cm mitte,LAB Bezugsdeh. q GW
AT3 Fäd.30 cm links,NA Breite v. N. M10S
AT3 Werksversion,NA Gewicht n.Nad.S
BM3 Modul Version,VC2 Legebreite
BM3 Modulnummer,
BM4 Modul Version,
BM4 Modulnummer,
EA Charge,
EA Fixierungsart,
EA Z-Status,
Filzklasse,
GG1 Gew. Modul Vers.,
GG2 Gew. Mod.W.Vers.,
NA Auftragsnummer,
NA List-Code,
NA Nadelb. Komb. S2,
NA Nadelb. Komb. S3,
NA Sperrvermerk Mu.,
NA Werk,
Nadelvorschrift,
Naht,
PF Charge,
PF Jahr 1.WE Prod.,
PF Monat 1.WE Prod.,
PF Z-Status,
Produktgruppe Fertigung,
SD Maschine,
VA1 Gew. Modul Vers.,
VA2 Gew. Modul Vers.,
VA3 Gew. Modul Vers.,
VA4 Gew. Mod.W.Vers.,
VC3 Vliesmodulnummer,
VR1 Charge,
VR2 Arbeitsplatz,
VR2 Mischungsnummer,
VR2 Werk,
VR3 Werkversion,
NA WE Produktion,
VR1 WE Produktion,
VR2 Letzte Änderung,
VR2 WE Produktion,
SD Soll-Länge,
PF Flächengewicht,
PF Flächengew. Type,
NA LD,
NA LD Typenstamm,
EA LD Text.Typenst.,
_ -11% _= -15%,
Abrieb PS,
Abw. Gewicht Muster,
Aktive Oberfläche,
AT1 Wickellänge,
AT2 Basisbreite,
BM1 Breite,
BM3 Länge,
BM4 Breite,
BM4 Länge Soll,
BM4 Stücklistenpos.,
EA Abw Br n d Sch Soll,
EA Abw LD Textest,
EA Breite n. Fix.,
EA Breite n. Fix. S,
EA Breite n. Schm.,
EA Dicke rechts Tex.,
EA Fixierspannung,
EA Gewicht Abfall,
EA Länge n. Rundl. S,
EA Länge n.fixieren,
EA LD quer,
EA LD Textest VPE,
EA Verlauf b. Anz.,
Gutschriftswert in €,
Höchstzugkraft lä MW,
Höchszugk-Dehn quer,
LAB Nahtfestigk. GW,
LAB Softness Q 50,
LAB Trennfestigk. GW,
LAB Vliesanteil WS %,
LAB VPI,
NA Anz fehl. Ösen,
NA Breite n. Nadeln,
NA Breite v. N. M10S,
NA Breite v. N. M40S,
NA Gewicht Abfall,
NA Länge v. Nadeln30,
NA Länge vor NadelnS,
NA n. fehlende Ösen,
Nahtfestigkeit MW,
Nahtfestigkeit WW,
PF Abw Flgew z Soll,
PF Bond.n.offen,
PF Bondingnaht wellig,
PF Breite Endkontr.,
PF Dicke VPE,
PF n. fehlende Ösen,
PF Schließzeit,
PF Steckdr.Anz.Fäd.,
PF-VC1 Flächengewicht Soll,
PF-VC2 Flächengewicht Soll,
PF. vorl. Fehl. Ösen,
PTI  LD,
PTI Breite,
PTI Total,
Trennfestigk G-G,
VA1 Breite v.Vorfix.,
VA1 Länge n.Vorfix.,
VA1 Vorfixierspann.,
VA2 Breite n.Vorfix.,
VA2 Länge vor Vorfixieren Soll,
VA3 Länge v.Vorfix.,
VA3 Vorfixierspann.,
VA4 Breite n.Vorfix.,
VA4 Stücklistenpos.,
VA4 Vorfixierspann.,
Var Höchstzk längs,
Var Höchstzk quer,
Var Nahtfestigkeit,
VC1 Gewicht Vliesr.,
VC1 Länge,
VC1 Legebreite,
VC2 Gewicht Vliesr.,
VC2 Legebreite,
VC3 Legebreite,
Vliesgewicht PS,
Vliesmeng PS,
Vorlauf der Naht PF,
VR1 Flächengewicht,
VR1 Legebreite,
VR2 Breite,
VR2 Flächengewicht,
VR3 Breite,
VR4 Flächengewicht,
VR4 Länge,
VR4 Legebreite,
TENSILE_STRENGTH_NEW,
TENSILE_STRENGTH_RUNNING,
WEAR,
